issn,journal_names,journal_hal,rang_2011,rang_2013,rang_2016,rang_2019,rang_2022,rang_2025
1534-4843,"Human Resource Development 
Review; HUMAN RESOURCE DEVELOPMENT REVIEW",Human Resource Development Review,,,,4,4,4
0090-4848,Human Resource Management; HUMAN RESOURCE MANAGEMENT,Human Resource Management,2,2,1,1,1,1
0954-5395,"Human Resource Management Journal; Human Resource Management 
Journal; HUMAN RESOURCE MANAGEMENT JOURNAL",Human Resource Management Journal,3,3,2,2,2,1
1053-4822,"Human Resource Management Review; Human Resource Management 
Review; HUMAN RESOURCE MANAGEMENT REVIEW",Human Resource Management Review,3,3,2,2,2,2
0018-9391,"IEEE Transactions on Engineering Management; IEEE Transactions on Engineering 
Management; IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT",IEEE Transactions on Engineering Management,2,2,2,2,2,2
2168-2291,"IEEE Transactions on Human-
Machine Systems; IEEE TRANSACTION ON HUMAN-MACHINE SYSTEMS (formerly ""IEEE Transactions on Systems Man and Cybernetics Part C (Applications and",IEEE Transactions on Human-Machine Systems,,,,3,3,
1041-4347,"IEEE Transactions on Knowledge and Data 
Engineering; IEEE Transactions on Knowledge and 
Data Engineering; IEEE Transactions on Knowledge 
and Data Engineering; IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING",IEEE Transactions on Knowledge and Data Engineering,2,2,2,3,4,3
0098-5589,"IEEE Transactions on Software Engineering; IEEE Transactions on Software 
Engineering; IEEE TRANSACTIONS ON SOFTWARE ENGINEERING",IEEE Transactions on Software Engineering,2,2,2,3,3,3
2168-2216,"IEEE Transactions on Systems, Man, 
and Cybernetics: Systems; IEEE TRANSACTION ON SYSTEMS, MAN AND CYBERNETICS: SYSTEMS (formerly ""IEEE Transactions on Systems, Man and Cybernetics - Part A:; IEEE TRANSACTION ON SYSTEMS, MAN AND CYBERNETICS: SYSTEMS (FORMERLY ""IEEE TRANSACTIONS ON SYSTEMS, MAN AND CYBERNETICS - PART A: SYSTEMS AND HUMANS"")","IEEE Transactions on Systems, Man, and Cybernetics: Systems",,,,3,3,2
2168-2216,"IEEE Transactions on Systems, Man, 
and Cybernetics: Systems; IEEE TRANSACTION ON SYSTEMS, MAN AND CYBERNETICS: SYSTEMS (formerly ""IEEE Transactions on Systems, Man and Cybernetics - Part A:; IEEE TRANSACTION ON SYSTEMS, MAN AND CYBERNETICS: SYSTEMS (FORMERLY ""IEEE TRANSACTIONS ON SYSTEMS, MAN AND CYBERNETICS - PART A: SYSTEMS AND HUMANS""); IEEE TRANSACTIONS ON SYSTEMS, MAN, AND CYBERNETICS: SYSTEMS","IEEE Transactions on Systems, Man, and Cybernetics: Systems",,,,3,3,3
2168-2216,"IEEE Transactions on Systems, Man, 
and Cybernetics: Systems; IEEE TRANSACTION ON SYSTEMS, MAN AND CYBERNETICS: SYSTEMS (formerly ""IEEE Transactions on Systems, Man and Cybernetics - Part A:; IEEE TRANSACTIONS ON SYSTEMS, MAN, AND CYBERNETICS: SYSTEMS; IEEE TRANSACTION ON SYSTEMS, MAN AND CYBERNETICS: SYSTEMS (FORMERLY ""IEEE TRANSACTIONS ON SYSTEMS, MAN AND CYBERNETICS - PART A: SYSTEMS AND HUMANS"")","IEEE Transactions on Systems, Man, and Cybernetics: Systems",,,,3,3,2
2168-2216,"IEEE Transactions on Systems, Man, 
and Cybernetics: Systems; IEEE TRANSACTION ON SYSTEMS, MAN AND CYBERNETICS: SYSTEMS (formerly ""IEEE Transactions on Systems, Man and Cybernetics - Part A:; IEEE TRANSACTIONS ON SYSTEMS, MAN, AND CYBERNETICS: SYSTEMS","IEEE Transactions on Systems, Man, and Cybernetics: Systems",,,,3,3,3
1748-5908,Implementation Science; IMPLEMENTATION SCIENCE,Implementation Science,,2,2,3,4,4
0263-5577,"Industrial Management and Data Systems; Industrial Management and Data 
Systems; INDUSTRIAL MANAGEMENT AND DATA SYSTEMS",Industrial Management and Data Systems,4,4,4,3,3,3
0019-8501,Industrial Marketing Management; INDUSTRIAL MARKETING MANAGEMENT,Industrial Marketing Management,2,2,2,2,2,2
0019-8676,Industrial Relations; INDUSTRIAL RELATIONS: A JOURNAL OF ECONOMY AND SOCIETY,Industrial Relations,1,1,2,2,1,1
0960-6491,Industrial and Corporate Change; INDUSTRIAL AND CORPORATE CHANGE,Industrial and Corporate Change,,,,2,2,2
1754-9426,"Industrial and Organizational 
Psychology: Perspectives on Science 
and Practice; INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY - PERSPECTIVES ON SCIENCE AND PRACTICE",Industrial and Organizational Psychology: Perspectives on Science and Practice,,,,2,3,4
1366-2716,Industry and Innovation; INDUSTRY AND INNOVATION,Industry and Innovation,3,3,3,3,3,3
1387-3326,Information Systems Frontiers; INFORMATION SYSTEMS FRONTIERS,Information Systems Frontiers,,4,3,3,3,2
1350-1917,Information Systems Journal; INFORMATION SYSTEMS JOURNAL,Information Systems Journal,2,2,2,1,1,1
1047-7047,Information Systems Research; INFORMATION SYSTEMS RESEARCH,Information Systems Research,1,1,1,1,1*,1*
0959-3845,Information Technology and People; INFORMATION TECHNOLOGY AND PEOPLE,Information Technology and People,3,3,3,3,3,2
0378-7206,Information and Management; INFORMATION AND MANAGEMENT,Information and Management,2,2,2,1,2,1
1471-7727,Information and Organization; INFORMATION AND ORGANIZATION,Information and Organization,2,2,2,2,2,2
0167-6687,"Insurance, Mathematics & Economics; Insurance: Mathematics and Economics; Insurance: Mathematics and 
Economics; INSURANCE: MATHEMATICS AND ECONOMICS",Insurance: Mathematics and Economics,3,3,2,3,3,3
0969-5931,International Business Review; INTERNATIONAL BUSINESS REVIEW,International Business Review,3,2,2,2,2,2
1554-7191,"International Entrepreneurship and 
Management Journal; INTERNATIONAL ENTREPRENEURSHIP AND MANAGEMENT JOURNAL",International Entrepreneurship and Management Journal,4,4,4,3,4,3
1353-4505,"International Journal of Quality in Health Care; International Journal of Quality in 
Health Care; International Journal for Quality 
in Health Care",International Journal for Quality in Health Care,4,3,,4,,
0265-0487,International Journal of Advertising; INTERNATIONAL JOURNAL OF ADVERTISING,International Journal of Advertising,3,3,3,3,3,3
1480-8986,"International Journal of Arts Management; International Journal of Arts 
Management; INTERNATIONAL JOURNAL OF ARTS MANAGEMENT",International Journal of Arts Management,4,4,4,4,4,4
1090-6738,International Journal of Auditing; INTERNATIONAL JOURNAL OF AUDITING,International Journal of Auditing,3,3,3,3,3,3
